Id,center_x,center_y,Clusters_2,Clusters_3,Clusters_4,Clusters_5
242,114.4069421,30.47873825,0.0,0.0,0.0,0.0
243,114.2742999,30.4790842,0.0,0.0,0.0,0.0
244,114.2629954,30.47748014,0.0,0.0,0.0,0.0
245,114.3228097,30.47584577,0.0,0.0,0.0,0.0
246,114.4006828,30.47867886,0.0,2.0,1.0,0.0
247,114.3142916,30.47879757,0.0,0.0,0.0,0.0
248,114.3106063,30.48049816,0.0,2.0,1.0,0.0
249,114.3070137,30.47961344,0.0,0.0,0.0,0.0
250,114.408706,30.47855364,0.0,0.0,0.0,0.0
251,114.4048445,30.47878635,0.0,0.0,0.0,0.0
252,114.2495594,30.47662821,1.0,1.0,1.0,4.0
253,114.2655165,30.47926484,0.0,0.0,0.0,0.0
254,114.5988952,30.48019421,,,,
255,114.5900191,30.48027826,,,,
256,114.3410065,30.47818599,0.0,0.0,0.0,0.0
257,114.5942469,30.48025323,0.0,2.0,2.0,2.0
258,114.4025045,30.48060759,0.0,0.0,1.0,0.0
259,114.3492522,30.4814598,0.0,2.0,1.0,1.0
260,114.343822,30.47979704,0.0,0.0,0.0,0.0
261,114.284782,30.48125211,0.0,0.0,0.0,0.0
262,114.2892675,30.48129032,0.0,0.0,0.0,0.0
263,114.2919284,30.48101505,,,,
264,114.2764277,30.48123959,0.0,0.0,0.0,0.0
265,114.2579598,30.47972758,0.0,0.0,0.0,0.0
266,114.2713058,30.47986249,0.0,0.0,0.0,0.0
267,114.3365254,30.48178288,0.0,0.0,0.0,0.0
268,114.2304119,30.46063834,,,,
269,114.2541435,30.4801495,0.0,0.0,0.0,0.0
270,114.3428679,30.48164569,0.0,2.0,1.0,3.0
271,114.4828642,30.47998923,0.0,0.0,0.0,0.0
272,114.305197,30.48155317,0.0,2.0,2.0,2.0
273,114.5052137,30.48100464,0.0,0.0,0.0,0.0
274,114.500109,30.48095065,0.0,2.0,2.0,3.0
275,114.3065216,30.48085286,0.0,0.0,0.0,0.0
276,114.4915027,30.48037389,0.0,0.0,0.0,0.0
277,114.4955545,30.48108993,0.0,0.0,0.0,0.0
278,114.267643,30.48166009,0.0,0.0,0.0,0.0
279,114.2945609,30.48125782,,,,
